Date,Description,Debit,Credit,Balance
2024-01-02,WOOLWORTHS METRO SYDNEY,87.43,,4912.57
2024-01-02,SALARY - EMPLOYER PTY LTD,,5000.00,9912.57
2024-01-03,NETFLIX SUBSCRIPTION,22.99,,9889.58
2024-01-03,UBER EATS - MCDONALDS,34.50,,9855.08
2024-01-04,OPAL CARD TOP UP,50.00,,9805.08
2024-01-05,AMAZON AU,2847.00,,6958.08
2024-01-06,PRICELINE PHARMACY,23.40,,6934.68
2024-01-07,AIRBNB PAYMENT,1200.00,,5734.68
2024-01-08,COLES SUPERMARKET,112.30,,5622.38
2024-01-09,SPOTIFY PREMIUM,12.99,,5609.39
2024-01-10,SHELL COLES EXPRESS,78.50,,5530.89
2024-01-11,MEDICARE REFUND,,45.00,5575.89
2024-01-12,JBHIFI ONLINE,349.00,,5226.89
2024-01-13,UBER TRIP,18.40,,5208.49
2024-01-14,WOOLWORTHS METRO SYDNEY,94.10,,5114.39
2024-01-15,BUPA HEALTH INSURANCE,145.00,,4969.39
2024-01-16,OPTUS MOBILE,65.00,,4904.39
2024-01-17,IGA SUPERMARKET,43.20,,4861.19
2024-01-18,MENULOG - THAI PALACE,28.90,,4832.29
2024-01-19,BP FUEL SYDNEY,85.60,,4746.69
2024-01-20,DAVID JONES,234.00,,4512.69
2024-01-21,GOOGLE ONE STORAGE,2.99,,4509.70
2024-01-22,HARRIS FARM MARKETS,67.80,,4441.90
2024-01-23,SALARY - EMPLOYER PTY LTD,,5000.00,9441.90
2024-01-24,SYDNEY GYM MEMBERSHIP,79.99,,9361.91
2024-01-25,MYER ONLINE,189.00,,9172.91
2024-01-26,WOOLWORTHS METRO SYDNEY,103.40,,9069.51
2024-01-27,DAN MURPHYS,87.00,,8982.51
2024-01-28,UBER EATS - GUZMAN GOMEZ,31.20,,8951.31
2024-01-29,BUNNINGS WAREHOUSE,156.90,,8794.41
2024-01-30,HOYTS CINEMAS,42.00,,8752.41
2024-01-31,COLES SUPERMARKET,76.80,,8675.61
2024-02-01,TRANSFER TO SAVINGS,2000.00,,6675.61
2024-02-02,WOOLWORTHS METRO SYDNEY,91.40,,6584.21
2024-02-03,AIRBNB PAYMENT,3200.00,,3384.21
2024-02-04,SALARY - EMPLOYER PTY LTD,,5000.00,8384.21
2024-02-05,NETFLIX SUBSCRIPTION,22.99,,8361.22
2024-02-06,UBER EATS - DOMINOS,24.50,,8336.72
2024-02-07,OPAL CARD TOP UP,50.00,,8286.72
2024-02-08,KMART AUSTRALIA,67.30,,8219.42
2024-02-09,CHEMIST WAREHOUSE,34.80,,8184.62
2024-02-10,SHELL COLES EXPRESS,82.10,,8102.52
2024-02-11,APPLE APP STORE,14.99,,8087.53
2024-02-12,VALENTINES DINNER - QUAY RESTAURANT,287.00,,7800.53
2024-02-13,EBAY AU,445.00,,7355.53
2024-02-14,IGA SUPERMARKET,55.40,,7300.13
2024-02-15,SPOTIFY PREMIUM,12.99,,7287.14
2024-02-16,SYDNEY WATER BILL,145.00,,7142.14
2024-02-17,WOOLWORTHS METRO SYDNEY,88.60,,7053.54
2024-02-18,SALARY - EMPLOYER PTY LTD,,5000.00,12053.54
2024-02-19,AGL ENERGY BILL,234.00,,11819.54
2024-02-20,UBER TRIP,22.80,,11796.74
2024-02-21,HARRIS FARM MARKETS,58.90,,11737.84
2024-02-22,DAN MURPHYS,64.00,,11673.84
2024-02-23,OPTUS MOBILE,65.00,,11608.84
2024-02-24,IKEA AUSTRALIA,456.00,,11152.84
2024-02-25,HOYTS CINEMAS,38.00,,11114.84
2024-02-26,COLES SUPERMARKET,93.20,,11021.64
2024-02-27,MEDICARE LEVY,,120.00,11141.64
2024-02-28,PRICELINE PHARMACY,19.90,,11121.74
2024-03-01,WOOLWORTHS METRO SYDNEY,105.30,,11016.44
2024-03-02,SALARY - EMPLOYER PTY LTD,,5000.00,16016.44
2024-03-03,NETFLIX SUBSCRIPTION,22.99,,15993.45
2024-03-04,UBER EATS - MCDONALDS,21.50,,15971.95
2024-03-05,OPAL CARD TOP UP,50.00,,15921.95
2024-03-06,AMAZON AU,187.00,,15734.95
2024-03-07,CHEMIST WAREHOUSE,41.20,,15693.75
2024-03-08,UBER TRIP,15.60,,15678.15
2024-03-09,COLES SUPERMARKET,88.40,,15589.75
2024-03-10,SPOTIFY PREMIUM,12.99,,15576.76
2024-03-11,BP FUEL SYDNEY,91.20,,15485.56
2024-03-12,DAVID JONES,134.00,,15351.56
2024-03-13,GOOGLE ONE STORAGE,2.99,,15348.57
2024-03-14,HARRIS FARM MARKETS,72.40,,15276.17
2024-03-15,SALARY - EMPLOYER PTY LTD,,5000.00,20276.17
2024-03-16,SYDNEY GYM MEMBERSHIP,79.99,,20196.18
2024-03-17,WOOLWORTHS METRO SYDNEY,96.80,,20099.38
2024-03-18,MENULOG - NOODLE HOUSE,32.40,,20066.98
2024-03-19,HOYTS CINEMAS,44.00,,20022.98
2024-03-20,BUPA HEALTH INSURANCE,145.00,,19877.98
2024-03-21,OPTUS MOBILE,65.00,,19812.98
2024-03-22,KMART AUSTRALIA,54.30,,19758.68
2024-03-23,SALARY - EMPLOYER PTY LTD,,5000.00,24758.68
2024-03-24,UBER EATS - GUZMAN GOMEZ,28.90,,24729.78
2024-03-25,TRANSFER TO SAVINGS,3000.00,,21729.78
2024-03-26,WOOLWORTHS METRO SYDNEY,111.20,,21618.58
2024-03-27,AGL ENERGY BILL,218.00,,21400.58
2024-03-28,APPLE APP STORE,9.99,,21390.59
2024-03-29,BUNNINGS WAREHOUSE,203.50,,21187.09
2024-03-30,UBER TRIP,24.30,,21162.79
2024-03-31,IGA SUPERMARKET,48.70,,21114.09
